,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-11 04:00:00-05:00,89.4,89.64,89.24,89.59,0,0,0
2023-01-11 05:00:00-05:00,89.59,89.72,89.55,89.67,0,0,0
2023-01-11 06:00:00-05:00,89.65,89.66,89.41,89.45,0,0,0
2023-01-11 07:00:00-05:00,89.43,89.6,89.28,89.34,0,0,0
2023-01-11 08:00:00-05:00,89.31,89.8085,89.25,89.51,0,0,0
2023-01-11 09:00:00-05:00,89.58,89.68,89.3,89.575,0,0,0
2023-01-11 09:30:00-05:00,90.05999755859375,91.2300033569336,89.73999786376953,91.20999908447266,4957288,0,0
2023-01-11 10:30:00-05:00,91.22000122070312,91.24500274658203,90.31999969482422,91.18499755859375,2282664,0,0
2023-01-11 11:30:00-05:00,91.17500305175781,91.55000305175781,91.0999984741211,91.51000213623047,1815314,0,0
2023-01-11 12:30:00-05:00,91.5199966430664,91.83000183105469,91.20999908447266,91.56500244140625,1718051,0,0
2023-01-11 13:30:00-05:00,91.56500244140625,91.7699966430664,91.32610321044922,91.5022964477539,1394524,0,0
2023-01-11 14:30:00-05:00,91.5,91.98999786376953,91.44000244140625,91.86750030517578,2886445,0,0
2023-01-11 15:30:00-05:00,91.86499786376953,92.44999694824219,91.81999969482422,92.23999786376953,3148428,0,0
2023-01-11 16:00:00-05:00,92.23,92.38,92.17,92.33,0,0,0
2023-01-11 17:00:00-05:00,92.33,92.4,92.3,92.33,0,0,0
2023-01-11 18:00:00-05:00,92.37,92.4,92.3,92.35,0,0,0
